Year,Jurisdiction,All students,Average scale score,,,,,,
2024,National,All students,214,,,,,,
,Albuquerque,All students,201,,,,,,
,Atlanta,All students,212,,,,,,
,Austin,All students,214,,,,,,
,Baltimore City,All students,186,,,,,,
,Boston,All students,214,,,,,,
,Charlotte,All students,214,,,,,,
,Chicago,All students,203,,,,,,
,Clark County (NV),All students,210,,,,,,
,Cleveland,All students,184,,,,,,
,Dallas,All students,202,,,,,,
,Denver,All students,216,,,,,,
,Detroit,All students,174,,,,,,
,District of Columbia (DCPS),All students,216,,,,,,
,Duval County (FL),All students,211,,,,,,
,Fort Worth (TX),All students,198,,,,,,
,Fresno,All students,—,,,,,,
,Guilford County (NC),All students,212,,,,,,
,Hillsborough County (FL),All students,219,,,,,,
,Houston,All students,206,,,,,,
,Jefferson County (KY),All students,209,,,,,,
,Los Angeles,All students,206,,,,,,
,Miami-Dade,All students,218,,,,,,
,Milwaukee,All students,179,,,,,,
,New York City,All students,209,,,,,,
,Orange County (FL),All students,218,,,,,,
,Philadelphia,All students,195,,,,,,
,San Diego,All students,223,,,,,,
,Shelby County (TN),All students,—,,,,,,
2022,National,All students,216,,,,,,
,Albuquerque,All students,205,,,,,,
,Atlanta,All students,205,,,,,,
,Austin,All students,220,,,,,,
,Baltimore City,All students,185,,,,,,
,Boston,All students,210,,,,,,
,Charlotte,All students,215,,,,,,
,Chicago,All students,205,,,,,,
,Clark County (NV),All students,208,,,,,,
,Cleveland,All students,180,,,,,,
,Dallas,All students,203,,,,,,
,Denver,All students,212,,,,,,
,Detroit,All students,176,,,,,,
,District of Columbia (DCPS),All students,214,,,,,,
,Duval County (FL),All students,215,,,,,,
,Fort Worth (TX),All students,200,,,,,,
,Fresno,All students,—,,,,,,
,Guilford County (NC),All students,211,,,,,,
,Hillsborough County (FL),All students,226,,,,,,
,Houston,All students,203,,,,,,
,Jefferson County (KY),All students,210,,,,,,
,Los Angeles,All students,207,,,,,,
,Miami-Dade,All students,224,,,,,,
,Milwaukee,All students,187,,,,,,
,New York City,All students,211,,,,,,
,Philadelphia,All students,195,,,,,,
,San Diego,All students,222,,,,,,
,Shelby County (TN),All students,197,,,,,,
2019,National,All students,220,,,,,,
,Albuquerque,All students,208,,,,,,
,Atlanta,All students,214,,,,,,
,Austin,All students,217,,,,,,
,Baltimore City,All students,193,,,,,,
,Boston,All students,214,,,,,,
,Charlotte,All students,225,,,,,,
,Chicago,All students,208,,,,,,
,Clark County (NV),All students,216,,,,,,
,Cleveland,All students,196,,,,,,
,Dallas,All students,203,,,,,,
,Denver,All students,217,,,,,,
,Detroit,All students,183,,,,,,
,District of Columbia (DCPS),All students,214,,,,,,
,Duval County (FL),All students,222,,,,,,
,Fort Worth (TX),All students,204,,,,,,
,Fresno,All students,204,,,,,,
,Guilford County (NC),All students,218,,,,,,
,Hillsborough County (FL),All students,224,,,,,,
,Houston,All students,204,,,,,,
,Jefferson County (KY),All students,214,,,,,,
,Los Angeles,All students,205,,,,,,
,Miami-Dade,All students,225,,,,,,
,Milwaukee,All students,190,,,,,,
,New York City,All students,212,,,,,,
,Philadelphia,All students,197,,,,,,
,San Diego,All students,223,,,,,,
,Shelby County (TN),All students,205,,,,,,